district,census_variable,value,rank
Pascoe Vale,M_0_299_DS_DS_Flat_apart,13.0,67.0
Kew,M_0_299_DS_DS_Flat_apart,15.0,68.0
Mulgrave,M_0_299_DS_DS_Flat_apart,15.0,69.0
Footscray,M_0_299_DS_DS_Flat_apart,16.0,70.0
Clarinda,M_0_299_DS_DS_Flat_apart,17.0,71.0
Box Hill,M_0_299_DS_DS_Flat_apart,18.0,72.0
Sandringham,M_0_299_DS_DS_Flat_apart,24.0,73.0
Ashwood,M_0_299_DS_DS_Flat_apart,30.0,74.0
Northcote,M_0_299_DS_DS_Flat_apart,32.0,75.0
Brighton,M_0_299_DS_DS_Flat_apart,33.0,76.0
Essendon,M_0_299_DS_DS_Flat_apart,33.0,77.0
Caulfield,M_0_299_DS_DS_Flat_apart,34.0,78.0
Bentleigh,M_0_299_DS_DS_Flat_apart,38.0,79.0
Oakleigh,M_0_299_DS_DS_Flat_apart,39.0,80.0
Brunswick,M_0_299_DS_DS_Flat_apart,45.0,81.0
Bulleen,M_0_299_DS_DS_Flat_apart,45.0,82.0
Malvern,M_0_299_DS_DS_Flat_apart,51.0,83.0
Hawthorn,M_0_299_DS_DS_Flat_apart,55.0,84.0
Richmond,M_0_299_DS_DS_Flat_apart,76.0,85.0
Albert Park,M_0_299_DS_DS_Flat_apart,165.0,86.0
Prahran,M_0_299_DS_DS_Flat_apart,209.0,87.0
Melbourne,M_0_299_DS_DS_Flat_apart,266.0,88.0
Bass,M_0_299_DS_DS_Flat_apart_pc,0.0,1.0
Bellarine,M_0_299_DS_DS_Flat_apart_pc,0.0,2.0
Benambra,M_0_299_DS_DS_Flat_apart_pc,0.0,3.0
Bendigo East,M_0_299_DS_DS_Flat_apart_pc,0.0,4.0
Bendigo West,M_0_299_DS_DS_Flat_apart_pc,0.0,5.0
Berwick,M_0_299_DS_DS_Flat_apart_pc,0.0,6.0
Eildon,M_0_299_DS_DS_Flat_apart_pc,0.0,7.0
Eureka,M_0_299_DS_DS_Flat_apart_pc,0.0,8.0
Euroa,M_0_299_DS_DS_Flat_apart_pc,0.0,9.0
Evelyn,M_0_299_DS_DS_Flat_apart_pc,0.0,10.0
Gippsland East,M_0_299_DS_DS_Flat_apart_pc,0.0,11.0
Gippsland South,M_0_299_DS_DS_Flat_apart_pc,0.0,12.0
Greenvale,M_0_299_DS_DS_Flat_apart_pc,0.0,13.0
Hastings,M_0_299_DS_DS_Flat_apart_pc,0.0,14.0
Kalkallo,M_0_299_DS_DS_Flat_apart_pc,0.0,15.0
Kororoit,M_0_299_DS_DS_Flat_apart_pc,0.0,16.0
Lara,M_0_299_DS_DS_Flat_apart_pc,0.0,17.0
Lowan,M_0_299_DS_DS_Flat_apart_pc,0.0,18.0
Macedon,M_0_299_DS_DS_Flat_apart_pc,0.0,19.0
Melton,M_0_299_DS_DS_Flat_apart_pc,0.0,20.0
Mildura,M_0_299_DS_DS_Flat_apart_pc,0.0,21.0
Mill Park,M_0_299_DS_DS_Flat_apart_pc,0.0,22.0
Monbulk,M_0_299_DS_DS_Flat_apart_pc,0.0,23.0
Mornington,M_0_299_DS_DS_Flat_apart_pc,0.0,24.0
Morwell,M_0_299_DS_DS_Flat_apart_pc,0.0,25.0
Murray Plains,M_0_299_DS_DS_Flat_apart_pc,0.0,26.0
Narre Warren South,M_0_299_DS_DS_Flat_apart_pc,0.0,27.0
Nepean,M_0_299_DS_DS_Flat_apart_pc,0.0,28.0
Niddrie,M_0_299_DS_DS_Flat_apart_pc,0.0,29.0
Ovens Valley,M_0_299_DS_DS_Flat_apart_pc,0.0,30.0
Pakenham,M_0_299_DS_DS_Flat_apart_pc,0.0,31.0
Point Cook,M_0_299_DS_DS_Flat_apart_pc,0.0,32.0
Polwarth,M_0_299_DS_DS_Flat_apart_pc,0.0,33.0
Ripon,M_0_299_DS_DS_Flat_apart_pc,0.0,34.0
Shepparton,M_0_299_DS_DS_Flat_apart_pc,0.0,35.0
South Barwon,M_0_299_DS_DS_Flat_apart_pc,0.0,36.0
South-West Coast,M_0_299_DS_DS_Flat_apart_pc,0.0,37.0
Sydenham,M_0_299_DS_DS_Flat_apart_pc,0.0,38.0
Thomastown,M_0_299_DS_DS_Flat_apart_pc,0.0,39.0
Werribee,M_0_299_DS_DS_Flat_apart_pc,0.0,40.0
Yan Yean,M_0_299_DS_DS_Flat_apart_pc,0.0,41.0
Tarneit,M_0_299_DS_DS_Flat_apart_pc,0.0002,42.0
Bayswater,M_0_299_DS_DS_Flat_apart_pc,0.0003,43.0
Cranbourne,M_0_299_DS_DS_Flat_apart_pc,0.0003,44.0
Eltham,M_0_299_DS_DS_Flat_apart_pc,0.0003,45.0
Laverton,M_0_299_DS_DS_Flat_apart_pc,0.0003,46.0
Williamstown,M_0_299_DS_DS_Flat_apart_pc,0.0003,47.0
Frankston,M_0_299_DS_DS_Flat_apart_pc,0.0004,48.0
Rowville,M_0_299_DS_DS_Flat_apart_pc,0.0004,49.0
Sunbury,M_0_299_DS_DS_Flat_apart_pc,0.0004,50.0
Wendouree,M_0_299_DS_DS_Flat_apart_pc,0.0004,51.0
Carrum,M_0_299_DS_DS_Flat_apart_pc,0.0005,52.0
Geelong,M_0_299_DS_DS_Flat_apart_pc,0.0005,53.0
Narracan,M_0_299_DS_DS_Flat_apart_pc,0.0005,54.0
Ringwood,M_0_299_DS_DS_Flat_apart_pc,0.0005,55.0
Croydon,M_0_299_DS_DS_Flat_apart_pc,0.0006,56.0
St Albans,M_0_299_DS_DS_Flat_apart_pc,0.0006,57.0
Dandenong,M_0_299_DS_DS_Flat_apart_pc,0.0007,58.0
Preston,M_0_299_DS_DS_Flat_apart_pc,0.0007,59.0
Ivanhoe,M_0_299_DS_DS_Flat_apart_pc,0.0009,60.0
Narre Warren North,M_0_299_DS_DS_Flat_apart_pc,0.0009,61.0
Warrandyte,M_0_299_DS_DS_Flat_apart_pc,0.001,62.0
Bundoora,M_0_299_DS_DS_Flat_apart_pc,0.0011,63.0
Glen Waverley,M_0_299_DS_DS_Flat_apart_pc,0.0011,64.0
Mordialloc,M_0_299_DS_DS_Flat_apart_pc,0.0011,65.0
Broadmeadows,M_0_299_DS_DS_Flat_apart_pc,0.0014,66.0
Pascoe Vale,M_0_299_DS_DS_Flat_apart_pc,0.0015,67.0
Footscray,M_0_299_DS_DS_Flat_apart_pc,0.0016,68.0
Box Hill,M_0_299_DS_DS_Flat_apart_pc,0.0019,69.0
Clarinda,M_0_299_DS_DS_Flat_apart_pc,0.0019,70.0
Kew,M_0_299_DS_DS_Flat_apart_pc,0.0019,71.0
Mulgrave,M_0_299_DS_DS_Flat_apart_pc,0.0019,72.0
Sandringham,M_0_299_DS_DS_Flat_apart_pc,0.0028,73.0
Ashwood,M_0_299_DS_DS_Flat_apart_pc,0.0033,74.0
Bentleigh,M_0_299_DS_DS_Flat_apart_pc,0.0036,75.0
Essendon,M_0_299_DS_DS_Flat_apart_pc,0.0038,76.0
Northcote,M_0_299_DS_DS_Flat_apart_pc,0.0038,77.0
Caulfield,M_0_299_DS_DS_Flat_apart_pc,0.004,78.0
Oakleigh,M_0_299_DS_DS_Flat_apart_pc,0.004,79.0
Brighton,M_0_299_DS_DS_Flat_apart_pc,0.0042,80.0
Bulleen,M_0_299_DS_DS_Flat_apart_pc,0.0054,81.0
Brunswick,M_0_299_DS_DS_Flat_apart_pc,0.006,82.0
Hawthorn,M_0_299_DS_DS_Flat_apart_pc,0.0069,83.0
Malvern,M_0_299_DS_DS_Flat_apart_pc,0.007,84.0
Richmond,M_0_299_DS_DS_Flat_apart_pc,0.01,85.0
Albert Park,M_0_299_DS_DS_Flat_apart_pc,0.0204,86.0
Prahran,M_0_299_DS_DS_Flat_apart_pc,0.0267,87.0
Melbourne,M_0_299_DS_DS_Flat_apart_pc,0.0316,88.0
Albert Park,M_0_299_DS_DS_Other_dwg,0.0,1.0
Ashwood,M_0_299_DS_DS_Other_dwg,0.0,2.0
Bass,M_0_299_DS_DS_Other_dwg,0.0,3.0
Bayswater,M_0_299_DS_DS_Other_dwg,0.0,4.0
Bellarine,M_0_299_DS_DS_Other_dwg,0.0,5.0
Benambra,M_0_299_DS_DS_Other_dwg,0.0,6.0
Bendigo East,M_0_299_DS_DS_Other_dwg,0.0,7.0
Bendigo West,M_0_299_DS_DS_Other_dwg,0.0,8.0
Bentleigh,M_0_299_DS_DS_Other_dwg,0.0,9.0
Berwick,M_0_299_DS_DS_Other_dwg,0.0,10.0
Box Hill,M_0_299_DS_DS_Other_dwg,0.0,11.0
Brighton,M_0_299_DS_DS_Other_dwg,0.0,12.0
Broadmeadows,M_0_299_DS_DS_Other_dwg,0.0,13.0
Brunswick,M_0_299_DS_DS_Other_dwg,0.0,14.0
Bulleen,M_0_299_DS_DS_Other_dwg,0.0,15.0
Bundoora,M_0_299_DS_DS_Other_dwg,0.0,16.0
Carrum,M_0_299_DS_DS_Other_dwg,0.0,17.0
Caulfield,M_0_299_DS_DS_Other_dwg,0.0,18.0
Clarinda,M_0_299_DS_DS_Other_dwg,0.0,19.0
Cranbourne,M_0_299_DS_DS_Other_dwg,0.0,20.0
Croydon,M_0_299_DS_DS_Other_dwg,0.0,21.0
Dandenong,M_0_299_DS_DS_Other_dwg,0.0,22.0
Eildon,M_0_299_DS_DS_Other_dwg,0.0,23.0
Eltham,M_0_299_DS_DS_Other_dwg,0.0,24.0
Essendon,M_0_299_DS_DS_Other_dwg,0.0,25.0
Eureka,M_0_299_DS_DS_Other_dwg,0.0,26.0
Euroa,M_0_299_DS_DS_Other_dwg,0.0,27.0
Evelyn,M_0_299_DS_DS_Other_dwg,0.0,28.0
Footscray,M_0_299_DS_DS_Other_dwg,0.0,29.0
Frankston,M_0_299_DS_DS_Other_dwg,0.0,30.0
Geelong,M_0_299_DS_DS_Other_dwg,0.0,31.0
Gippsland East,M_0_299_DS_DS_Other_dwg,0.0,32.0
Gippsland South,M_0_299_DS_DS_Other_dwg,0.0,33.0
Glen Waverley,M_0_299_DS_DS_Other_dwg,0.0,34.0
Greenvale,M_0_299_DS_DS_Other_dwg,0.0,35.0
Hastings,M_0_299_DS_DS_Other_dwg,0.0,36.0
Hawthorn,M_0_299_DS_DS_Other_dwg,0.0,37.0
Ivanhoe,M_0_299_DS_DS_Other_dwg,0.0,38.0
Kalkallo,M_0_299_DS_DS_Other_dwg,0.0,39.0
Kew,M_0_299_DS_DS_Other_dwg,0.0,40.0
Kororoit,M_0_299_DS_DS_Other_dwg,0.0,41.0
Lara,M_0_299_DS_DS_Other_dwg,0.0,42.0
Laverton,M_0_299_DS_DS_Other_dwg,0.0,43.0
Lowan,M_0_299_DS_DS_Other_dwg,0.0,44.0
Macedon,M_0_299_DS_DS_Other_dwg,0.0,45.0
Malvern,M_0_299_DS_DS_Other_dwg,0.0,46.0
Melbourne,M_0_299_DS_DS_Other_dwg,0.0,47.0
Melton,M_0_299_DS_DS_Other_dwg,0.0,48.0
Mildura,M_0_299_DS_DS_Other_dwg,0.0,49.0
Mill Park,M_0_299_DS_DS_Other_dwg,0.0,50.0
Monbulk,M_0_299_DS_DS_Other_dwg,0.0,51.0
Mordialloc,M_0_299_DS_DS_Other_dwg,0.0,52.0
Mornington,M_0_299_DS_DS_Other_dwg,0.0,53.0
Morwell,M_0_299_DS_DS_Other_dwg,0.0,54.0
Mulgrave,M_0_299_DS_DS_Other_dwg,0.0,55.0
Murray Plains,M_0_299_DS_DS_Other_dwg,0.0,56.0
Narracan,M_0_299_DS_DS_Other_dwg,0.0,57.0
Narre Warren North,M_0_299_DS_DS_Other_dwg,0.0,58.0
Narre Warren South,M_0_299_DS_DS_Other_dwg,0.0,59.0
Nepean,M_0_299_DS_DS_Other_dwg,0.0,60.0
Niddrie,M_0_299_DS_DS_Other_dwg,0.0,61.0
Northcote,M_0_299_DS_DS_Other_dwg,0.0,62.0
Oakleigh,M_0_299_DS_DS_Other_dwg,0.0,63.0
Ovens Valley,M_0_299_DS_DS_Other_dwg,0.0,64.0
Pakenham,M_0_299_DS_DS_Other_dwg,0.0,65.0
Pascoe Vale,M_0_299_DS_DS_Other_dwg,0.0,66.0
Point Cook,M_0_299_DS_DS_Other_dwg,0.0,67.0
Polwarth,M_0_299_DS_DS_Other_dwg,0.0,68.0
Prahran,M_0_299_DS_DS_Other_dwg,0.0,69.0
Preston,M_0_299_DS_DS_Other_dwg,0.0,70.0
Richmond,M_0_299_DS_DS_Other_dwg,0.0,71.0
Ringwood,M_0_299_DS_DS_Other_dwg,0.0,72.0
Ripon,M_0_299_DS_DS_Other_dwg,0.0,73.0
Rowville,M_0_299_DS_DS_Other_dwg,0.0,74.0
Sandringham,M_0_299_DS_DS_Other_dwg,0.0,75.0
Shepparton,M_0_299_DS_DS_Other_dwg,0.0,76.0
South Barwon,M_0_299_DS_DS_Other_dwg,0.0,77.0
South-West Coast,M_0_299_DS_DS_Other_dwg,0.0,78.0
St Albans,M_0_299_DS_DS_Other_dwg,0.0,79.0
Sunbury,M_0_299_DS_DS_Other_dwg,0.0,80.0
Sydenham,M_0_299_DS_DS_Other_dwg,0.0,81.0
Tarneit,M_0_299_DS_DS_Other_dwg,0.0,82.0
Thomastown,M_0_299_DS_DS_Other_dwg,0.0,83.0
Warrandyte,M_0_299_DS_DS_Other_dwg,0.0,84.0
Wendouree,M_0_299_DS_DS_Other_dwg,0.0,85.0
Werribee,M_0_299_DS_DS_Other_dwg,0.0,86.0
Williamstown,M_0_299_DS_DS_Other_dwg,0.0,87.0
Yan Yean,M_0_299_DS_DS_Other_dwg,0.0,88.0
Albert Park,M_0_299_DS_DS_Other_dwg_pc,0.0,1.0
Ashwood,M_0_299_DS_DS_Other_dwg_pc,0.0,2.0
Bass,M_0_299_DS_DS_Other_dwg_pc,0.0,3.0
Bayswater,M_0_299_DS_DS_Other_dwg_pc,0.0,4.0
Bellarine,M_0_299_DS_DS_Other_dwg_pc,0.0,5.0
Benambra,M_0_299_DS_DS_Other_dwg_pc,0.0,6.0
Bendigo East,M_0_299_DS_DS_Other_dwg_pc,0.0,7.0
Bendigo West,M_0_299_DS_DS_Other_dwg_pc,0.0,8.0
Bentleigh,M_0_299_DS_DS_Other_dwg_pc,0.0,9.0
Berwick,M_0_299_DS_DS_Other_dwg_pc,0.0,10.0
Box Hill,M_0_299_DS_DS_Other_dwg_pc,0.0,11.0
Brighton,M_0_299_DS_DS_Other_dwg_pc,0.0,12.0
Broadmeadows,M_0_299_DS_DS_Other_dwg_pc,0.0,13.0
Brunswick,M_0_299_DS_DS_Other_dwg_pc,0.0,14.0
Bulleen,M_0_299_DS_DS_Other_dwg_pc,0.0,15.0
Bundoora,M_0_299_DS_DS_Other_dwg_pc,0.0,16.0
Carrum,M_0_299_DS_DS_Other_dwg_pc,0.0,17.0
Caulfield,M_0_299_DS_DS_Other_dwg_pc,0.0,18.0
Clarinda,M_0_299_DS_DS_Other_dwg_pc,0.0,19.0
Cranbourne,M_0_299_DS_DS_Other_dwg_pc,0.0,20.0
Croydon,M_0_299_DS_DS_Other_dwg_pc,0.0,21.0
Dandenong,M_0_299_DS_DS_Other_dwg_pc,0.0,22.0
Eildon,M_0_299_DS_DS_Other_dwg_pc,0.0,23.0
Eltham,M_0_299_DS_DS_Other_dwg_pc,0.0,24.0
Essendon,M_0_299_DS_DS_Other_dwg_pc,0.0,25.0
Eureka,M_0_299_DS_DS_Other_dwg_pc,0.0,26.0
Euroa,M_0_299_DS_DS_Other_dwg_pc,0.0,27.0
Evelyn,M_0_299_DS_DS_Other_dwg_pc,0.0,28.0
Footscray,M_0_299_DS_DS_Other_dwg_pc,0.0,29.0
Frankston,M_0_299_DS_DS_Other_dwg_pc,0.0,30.0
Geelong,M_0_299_DS_DS_Other_dwg_pc,0.0,31.0
Gippsland East,M_0_299_DS_DS_Other_dwg_pc,0.0,32.0
Gippsland South,M_0_299_DS_DS_Other_dwg_pc,0.0,33.0
Glen Waverley,M_0_299_DS_DS_Other_dwg_pc,0.0,34.0
Greenvale,M_0_299_DS_DS_Other_dwg_pc,0.0,35.0
Hastings,M_0_299_DS_DS_Other_dwg_pc,0.0,36.0
Hawthorn,M_0_299_DS_DS_Other_dwg_pc,0.0,37.0
Ivanhoe,M_0_299_DS_DS_Other_dwg_pc,0.0,38.0
Kalkallo,M_0_299_DS_DS_Other_dwg_pc,0.0,39.0
Kew,M_0_299_DS_DS_Other_dwg_pc,0.0,40.0
Kororoit,M_0_299_DS_DS_Other_dwg_pc,0.0,41.0
Lara,M_0_299_DS_DS_Other_dwg_pc,0.0,42.0
Laverton,M_0_299_DS_DS_Other_dwg_pc,0.0,43.0
Lowan,M_0_299_DS_DS_Other_dwg_pc,0.0,44.0
Macedon,M_0_299_DS_DS_Other_dwg_pc,0.0,45.0
Malvern,M_0_299_DS_DS_Other_dwg_pc,0.0,46.0
Melbourne,M_0_299_DS_DS_Other_dwg_pc,0.0,47.0
Melton,M_0_299_DS_DS_Other_dwg_pc,0.0,48.0
Mildura,M_0_299_DS_DS_Other_dwg_pc,0.0,49.0
Mill Park,M_0_299_DS_DS_Other_dwg_pc,0.0,50.0
Monbulk,M_0_299_DS_DS_Other_dwg_pc,0.0,51.0
Mordialloc,M_0_299_DS_DS_Other_dwg_pc,0.0,52.0
Mornington,M_0_299_DS_DS_Other_dwg_pc,0.0,53.0
Morwell,M_0_299_DS_DS_Other_dwg_pc,0.0,54.0
Mulgrave,M_0_299_DS_DS_Other_dwg_pc,0.0,55.0
Murray Plains,M_0_299_DS_DS_Other_dwg_pc,0.0,56.0
Narracan,M_0_299_DS_DS_Other_dwg_pc,0.0,57.0
Narre Warren North,M_0_299_DS_DS_Other_dwg_pc,0.0,58.0
Narre Warren South,M_0_299_DS_DS_Other_dwg_pc,0.0,59.0
Nepean,M_0_299_DS_DS_Other_dwg_pc,0.0,60.0
Niddrie,M_0_299_DS_DS_Other_dwg_pc,0.0,61.0
Northcote,M_0_299_DS_DS_Other_dwg_pc,0.0,62.0
Oakleigh,M_0_299_DS_DS_Other_dwg_pc,0.0,63.0
Ovens Valley,M_0_299_DS_DS_Other_dwg_pc,0.0,64.0
Pakenham,M_0_299_DS_DS_Other_dwg_pc,0.0,65.0
Pascoe Vale,M_0_299_DS_DS_Other_dwg_pc,0.0,66.0
Point Cook,M_0_299_DS_DS_Other_dwg_pc,0.0,67.0
Polwarth,M_0_299_DS_DS_Other_dwg_pc,0.0,68.0
Prahran,M_0_299_DS_DS_Other_dwg_pc,0.0,69.0
Preston,M_0_299_DS_DS_Other_dwg_pc,0.0,70.0
Richmond,M_0_299_DS_DS_Other_dwg_pc,0.0,71.0
Ringwood,M_0_299_DS_DS_Other_dwg_pc,0.0,72.0
Ripon,M_0_299_DS_DS_Other_dwg_pc,0.0,73.0
Rowville,M_0_299_DS_DS_Other_dwg_pc,0.0,74.0
Sandringham,M_0_299_DS_DS_Other_dwg_pc,0.0,75.0
Shepparton,M_0_299_DS_DS_Other_dwg_pc,0.0,76.0
South Barwon,M_0_299_DS_DS_Other_dwg_pc,0.0,77.0
South-West Coast,M_0_299_DS_DS_Other_dwg_pc,0.0,78.0
St Albans,M_0_299_DS_DS_Other_dwg_pc,0.0,79.0
Sunbury,M_0_299_DS_DS_Other_dwg_pc,0.0,80.0
Sydenham,M_0_299_DS_DS_Other_dwg_pc,0.0,81.0
Tarneit,M_0_299_DS_DS_Other_dwg_pc,0.0,82.0
Thomastown,M_0_299_DS_DS_Other_dwg_pc,0.0,83.0
Warrandyte,M_0_299_DS_DS_Other_dwg_pc,0.0,84.0
Wendouree,M_0_299_DS_DS_Other_dwg_pc,0.0,85.0
Werribee,M_0_299_DS_DS_Other_dwg_pc,0.0,86.0
Williamstown,M_0_299_DS_DS_Other_dwg_pc,0.0,87.0
Yan Yean,M_0_299_DS_DS_Other_dwg_pc,0.0,88.0
Melbourne,M_0_299_DS_DS_Sept_house,3.0,1.0
Albert Park,M_0_299_DS_DS_Sept_house,36.0,2.0
Prahran,M_0_299_DS_DS_Sept_house,41.0,3.0
Richmond,M_0_299_DS_DS_Sept_house,51.0,4.0
Brunswick,M_0_299_DS_DS_Sept_house,108.0,5.0
Caulfield,M_0_299_DS_DS_Sept_house,202.0,6.0
Preston,M_0_299_DS_DS_Sept_house,216.0,7.0
Williamstown,M_0_299_DS_DS_Sept_house,229.0,8.0
Essendon,M_0_299_DS_DS_Sept_house,248.0,9.0
Malvern,M_0_299_DS_DS_Sept_house,254.0,10.0
Footscray,M_0_299_DS_DS_Sept_house,268.0,11.0
Pascoe Vale,M_0_299_DS_DS_Sept_house,272.0,12.0
Brighton,M_0_299_DS_DS_Sept_house,282.0,13.0
Wendouree,M_0_299_DS_DS_Sept_house,282.0,14.0
Pakenham,M_0_299_DS_DS_Sept_house,290.0,15.0
Shepparton,M_0_299_DS_DS_Sept_house,295.0,16.0
Sandringham,M_0_299_DS_DS_Sept_house,299.0,17.0
Frankston,M_0_299_DS_DS_Sept_house,305.0,18.0
Northcote,M_0_299_DS_DS_Sept_house,305.0,19.0
Broadmeadows,M_0_299_DS_DS_Sept_house,310.0,20.0
Yan Yean,M_0_299_DS_DS_Sept_house,312.0,21.0
Hawthorn,M_0_299_DS_DS_Sept_house,314.0,22.0
Cranbourne,M_0_299_DS_DS_Sept_house,315.0,23.0
Thomastown,M_0_299_DS_DS_Sept_house,318.0,24.0
Oakleigh,M_0_299_DS_DS_Sept_house,320.0,25.0
Kalkallo,M_0_299_DS_DS_Sept_house,324.0,26.0
Ovens Valley,M_0_299_DS_DS_Sept_house,325.0,27.0
Narracan,M_0_299_DS_DS_Sept_house,327.0,28.0
South Barwon,M_0_299_DS_DS_Sept_house,328.0,29.0
Gippsland East,M_0_299_DS_DS_Sept_house,329.0,30.0
Niddrie,M_0_299_DS_DS_Sept_house,336.0,31.0
Lara,M_0_299_DS_DS_Sept_house,342.0,32.0
Laverton,M_0_299_DS_DS_Sept_house,342.0,33.0
Dandenong,M_0_299_DS_DS_Sept_house,343.0,34.0
Mordialloc,M_0_299_DS_DS_Sept_house,343.0,35.0
Berwick,M_0_299_DS_DS_Sept_house,348.0,36.0
Bendigo East,M_0_299_DS_DS_Sept_house,352.0,37.0
Nepean,M_0_299_DS_DS_Sept_house,353.0,38.0
Carrum,M_0_299_DS_DS_Sept_house,354.0,39.0
Tarneit,M_0_299_DS_DS_Sept_house,356.0,40.0
Benambra,M_0_299_DS_DS_Sept_house,357.0,41.0
Bass,M_0_299_DS_DS_Sept_house,358.0,42.0
Mildura,M_0_299_DS_DS_Sept_house,359.0,43.0
Ivanhoe,M_0_299_DS_DS_Sept_house,362.0,44.0
Bendigo West,M_0_299_DS_DS_Sept_house,365.0,45.0
Murray Plains,M_0_299_DS_DS_Sept_house,374.0,46.0
Geelong,M_0_299_DS_DS_Sept_house,376.0,47.0
St Albans,M_0_299_DS_DS_Sept_house,378.0,48.0
Morwell,M_0_299_DS_DS_Sept_house,379.0,49.0
Mill Park,M_0_299_DS_DS_Sept_house,381.0,50.0
Euroa,M_0_299_DS_DS_Sept_house,382.0,51.0
Werribee,M_0_299_DS_DS_Sept_house,382.0,52.0
Bellarine,M_0_299_DS_DS_Sept_house,387.0,53.0
Macedon,M_0_299_DS_DS_Sept_house,390.0,54.0
Sunbury,M_0_299_DS_DS_Sept_house,390.0,55.0
Melton,M_0_299_DS_DS_Sept_house,391.0,56.0
Mulgrave,M_0_299_DS_DS_Sept_house,400.0,57.0
